BioSample.ID	ImmPort Study ID	PubMed	Study Title	PI	Experiment ID	Cohort	Repository Accession	Type	Subtype	Biosample Name	Biosample Description	Species	Strain	Evading_growth_suppressors	Evading_immune_destruction	Genome_instability	Replicative_immortality	Reprogramming_energy_metabolism	Resisting_cell_death	Sustained_angiogenesis	Sustaining_proliferative_signaling	Tissue_invasion_and_metastasis	Tumor-promoting_inflammation
SRR1925826	SDY1093	26091037	Apc Restoration Promotes Cellular Differentiation and Reestablishes Crypt Homeostasis in Colorectal Cancer	Scott Lowe	GSE67186	shAPC on Dox	GSM1641451    	Colon	Polyp	shAPC On Dox 1_Colon Polyp polyA RNA	4-6 weeks after 4-OHT shot and Dox feed	Mus musculus	LSL-rtTA3/Lgr5-CreER/shApc in C57B6/132	669	431	745	324	508	587	795	760	696	653
SRR1925827	SDY1093	26091037	Apc Restoration Promotes Cellular Differentiation and Reestablishes Crypt Homeostasis in Colorectal Cancer	Scott Lowe	GSE67186	shAPC on Dox	GSM1641452    	Colon	Polyp	shAPC On Dox 2_Colon Polyp polyA RNA	4-6 weeks after 4-OHT shot and Dox feed	Mus musculus	LSL-rtTA3/Lgr5-CreER/shApc in C57B6/132	654	420	722	304	502	546	786	763	704	589
SRR1925828	SDY1093	26091037	Apc Restoration Promotes Cellular Differentiation and Reestablishes Crypt Homeostasis in Colorectal Cancer	Scott Lowe	GSE67186	shAPC on Dox	GSM1641453    	Colon	Polyp	shAPC On Dox 3_Colon Polyp polyA RNA	4-6 weeks after 4-OHT shot and Dox feed	Mus musculus	LSL-rtTA3/Lgr5-CreER/shApc in C57B6/132	671	415	772	331	495	542	793	792	695	629
SRR1925829	SDY1093	26091037	Apc Restoration Promotes Cellular Differentiation and Reestablishes Crypt Homeostasis in Colorectal Cancer	Scott Lowe	GSE67186	shAPC on Dox	GSM1641454    	Colon	Polyp	shAPC On Dox 4_Colon Polyp polyA RNA	4-6 weeks after 4-OHT shot and Dox feed	Mus musculus	LSL-rtTA3/Lgr5-CreER/shApc in C57B6/132	662	412	765	330	484	544	787	790	702	619
SRR1925830	SDY1093	26091037	Apc Restoration Promotes Cellular Differentiation and Reestablishes Crypt Homeostasis in Colorectal Cancer	Scott Lowe	GSE67186	shAPC/Kras on Dox       	GSM1641455    	Colon	Polyp	shAPC/Kras On Dox 1_Colon Polyp polyA RNA	4-6 weeks after 4-OHT shot and Dox feed	Mus musculus	LSL-rtTA3/Lgr5-CreER/shAPC +  Kras G12D  in C57B6/132	668	424	717	297	504	555	793	765	711	605
SRR1925831	SDY1093	26091037	Apc Restoration Promotes Cellular Differentiation and Reestablishes Crypt Homeostasis in Colorectal Cancer	Scott Lowe	GSE67186	shAPC/Kras on Dox       	GSM1641456    	Colon	Polyp	shAPC/Kras On Dox 2_Colon Polyp polyA RNA	4-6 weeks after 4-OHT shot and Dox feed	Mus musculus	LSL-rtTA3/Lgr5-CreER/shAPC +  Kras G12D  in C57B6/132	708	398	774	344	492	563	827	790	691	614
SRR1925832	SDY1093	26091037	Apc Restoration Promotes Cellular Differentiation and Reestablishes Crypt Homeostasis in Colorectal Cancer	Scott Lowe	GSE67186	shAPC/Kras on Dox       	GSM1641457    	Colon	Polyp	shAPC/Kras On Dox 3_Colon Polyp polyA RNA	4-6 weeks after 4-OHT shot and Dox feed	Mus musculus	LSL-rtTA3/Lgr5-CreER/shAPC +  Kras G12D  in C57B6/132	703	406	754	330	499	545	824	792	685	616
SRR1925833	SDY1093	26091037	Apc Restoration Promotes Cellular Differentiation and Reestablishes Crypt Homeostasis in Colorectal Cancer	Scott Lowe	GSE67186	shAPC/Kras on Dox       	GSM1641458    	Colon	Polyp	shAPC/Kras On Dox 4_Colon Polyp polyA RNA	4-6 weeks after 4-OHT shot and Dox feed	Mus musculus	LSL-rtTA3/Lgr5-CreER/shAPC +  Kras G12D  in C57B6/132	668	405	687	291	509	536	848	762	714	607
SRR1925834	SDY1093	26091037	Apc Restoration Promotes Cellular Differentiation and Reestablishes Crypt Homeostasis in Colorectal Cancer	Scott Lowe	GSE67186	shAPC/Kras off Dox	GSM1641459    	Colon	Polyp	shAPC/Kras OFF DOX 1_Colon Polyp polyA RNA	remove Doxycycline after on-Dox treatment	Mus musculus	LSL-rtTA3/Lgr5-CreER/shAPC +  Kras G12D  in C57B6/132	609	403	658	264	466	544	838	730	686	613
SRR1925835	SDY1093	26091037	Apc Restoration Promotes Cellular Differentiation and Reestablishes Crypt Homeostasis in Colorectal Cancer	Scott Lowe	GSE67186	shAPC/Kras off Dox	GSM1641460    	Colon	Polyp	shAPC/Kras OFF DOX 2_Colon Polyp polyA RNA	remove Doxycycline after on-Dox treatment	Mus musculus	LSL-rtTA3/Lgr5-CreER/shAPC +  Kras G12D  in C57B6/132	630	392	669	266	502	553	817	749	668	614
