Sample	Evading_growth_suppressors	Evading_immune_destruction	Genome_instability	Replicative_immortality	Reprogramming_energy_metabolism	Resisting_cell_death	Sustained_angiogenesis	Sustaining_proliferative_signaling	Tissue_invasion_and_metastasis	Tumor-promoting_inflammation
SRR2079134	730	687	619	847	265	768	456	791	857	649
SRR2079135	750	697	622	808	292	789	471	824	858	657
SRR2079136	774	648	651	857	298	812	479	841	863	613
SRR2079137	772	647	652	884	289	796	379	850	857	613
SRR2079138	765	650	641	856	288	786	349	831	853	614
SRR2079139	741	796	628	801	271	746	522	770	866	746
SRR2079140	713	738	623	755	291	770	456	760	873	686
SRR2079141	744	722	654	923	294	785	466	804	875	678
SRR2079142	738	676	658	923	299	790	374	824	880	629
SRR2079143	721	616	634	874	283	771	293	812	862	567
SRR2079144	791	757	630	671	416	930	749	881	897	728
SRR2079145	779	691	666	883	362	876	597	857	908	649
SRR2079146	743	666	671	873	359	772	565	812	875	621
SRR2079147	746	686	629	808	283	776	400	790	861	638
SRR2079148	799	689	653	848	336	880	641	852	911	647
SRR3162396	681	698	634	751	468	749	632	729	780	677
SRR3162397	681	623	625	726	397	667	598	698	798	596
SRR3162398	682	696	608	762	445	702	585	691	824	652
SRR3162399	645	633	609	720	309	602	416	646	779	600
SRR3162400	661	648	608	736	293	633	402	663	793	614
SRR3162401	643	587	592	721	288	611	375	646	740	565
SRR3162402	795	616	561	619	-44	887	704	826	835	591
SRR3162403	791	533	508	728	-44	902	658	822	843	519
SRR3162404	786	1059	603	1205	-44	888	270	729	891	1000
SRR3162405	796	549	532	1208	-44	877	565	778	830	520
SRR3162406	783	711	557	1207	-44	921	377	781	914	658
SRR3162407	823	843	597	1208	-44	930	796	938	883	810
SRR3162408	818	606	632	1208	-44	881	656	835	855	577
SRR3162409	796	1012	542	1207	-44	868	269	780	841	977
SRR3162410	769	1087	581	1203	-44	863	228	718	887	1024
SRR3162411	791	1011	543	843	-44	870	730	831	936	959
SRR3162412	793	1033	534	665	-44	945	558	895	957	983
SRR3162413	817	581	636	1208	-44	918	558	796	857	551
SRR3162414	831	514	684	1208	-44	925	689	890	873	500
SRR3162415	764	997	555	1151	-44	872	203	710	886	937
SRR3162416	816	575	649	1208	-44	956	680	890	900	546
SRR3162417	791	845	417	494	-44	906	514	823	933	779
SRR3162418	768	684	561	1207	-44	906	665	768	901	641
SRR3162419	761	884	537	1202	-44	847	274	695	876	813
SRR3162420	799	1042	534	995	227	892	604	867	884	1003
SRR3162421	784	758	549	811	-44	931	613	810	850	745
SRR3162422	762	1025	567	1205	-44	831	195	690	864	966
SRR3162423	759	973	534	1199	-44	837	231	707	884	904
SRR3162424	832	783	630	1208	-44	940	673	858	856	746
SRR3162425	809	621	598	1207	-44	931	622	881	933	571
SRR3162426	807	820	623	1208	-44	946	300	878	866	799
SRR3162427	790	822	477	1208	102	887	581	803	894	780
SRR3162428	747	697	536	638	-44	899	678	777	831	666
SRR3162429	790	632	627	1108	-44	902	601	822	894	591
SRR3162430	792	1067	603	1207	-44	896	597	837	934	1007
SRR3162431	800	539	492	1208	-44	893	695	786	827	510
SRR3162432	803	624	504	1208	-44	921	645	802	852	591
SRR3162433	771	1070	564	1097	-44	868	241	721	891	1009
SRR3162434	795	560	503	1208	-36	899	607	800	912	519
SRR3162435	793	676	520	1079	-32	891	640	794	819	649
SRR3162436	829	800	802	900	-44	920	621	880	919	763
SRR3162437	752	1080	554	615	-44	851	655	771	896	1022
SRR3162438	750	910	546	1196	-44	869	223	743	890	848
SRR3162439	783	1082	532	1205	-44	850	218	741	861	1021
SRR3162440	832	626	630	1208	-44	909	649	842	865	595
SRR3162441	800	581	555	1208	-44	924	662	859	938	547
SRR3162442	812	1029	639	1208	-44	938	649	857	875	986
SRR3162443	760	955	546	1198	-44	833	188	702	883	885
SRR3162444	762	1009	552	1201	-44	837	202	749	883	957
SRR3162445	772	930	542	1151	-44	890	260	765	915	871
SRR3162446	787	724	545	1091	-44	894	521	812	914	672
SRR3162447	774	891	522	1207	-44	917	729	826	942	837
SRR3162448	756	929	708	1204	-44	832	207	724	872	870
SRR3162449	790	1016	541	1149	-44	879	235	781	891	956
SRR3162450	745	648	624	1204	-44	580	59	660	804	600
SRR3162451	744	585	599	970	-44	585	37	705	821	535
SRR3162452	774	933	576	850	-44	882	280	725	912	867
SRR3162453	779	736	523	719	-44	918	757	843	892	710
SRR3162454	792	690	504	1034	-19	938	594	839	926	638
SRR3162455	812	747	622	1208	-44	925	675	811	870	710
SRR3162456	819	750	678	873	-44	936	654	888	900	705
SRR3162457	748	1087	568	1198	-44	832	447	687	877	1020
SRR3162458	757	952	536	1204	-44	851	212	682	872	903
SRR3162459	776	980	705	821	-44	843	150	773	881	927
SRR3162460	755	944	548	1195	-44	874	241	749	883	896
SRR3162461	759	1084	547	1199	-44	846	255	755	889	1027
SRR3162462	773	922	535	917	0	889	253	769	893	855
SRR3162463	770	941	561	1200	-5	857	274	701	878	873
SRR3162464	766	1015	574	1208	-44	862	582	781	907	951
SRR3162465	794	868	535	1208	-44	899	627	800	911	811
SRR3162466	783	949	548	1205	-44	859	241	724	890	885
SRR3162467	777	998	572	1206	-44	851	180	727	883	934
SRR3162468	822	1084	689	1208	-44	934	649	853	924	1025
SRR3162469	744	770	588	1193	-44	856	289	666	858	734
SRR3162470	806	1030	542	455	-44	921	533	836	936	978
SRR3162471	755	850	558	1069	-44	843	181	676	878	786
SRR3162472	761	896	536	1130	-44	845	214	699	864	840
SRR3162473	670	569	569	1204	-44	531	16	640	779	513
SRR3162474	701	912	571	839	-44	628	166	575	803	850
SRR3162475	770	1032	574	1204	-44	819	180	720	884	970
SRR3162476	796	1070	528	737	-44	949	746	845	893	1034
SRR3162477	776	954	589	1204	-44	835	244	713	865	899
SRR3162478	769	855	564	1205	-44	880	197	749	899	795
SRR3162479	803	942	592	1208	-44	912	619	814	914	876
SRR3162480	803	559	659	1206	25	721	105	766	865	514
SRR3162481	767	1073	529	1199	-44	834	202	723	881	1008
SRR3162482	761	1087	541	1199	-30	864	224	686	899	1027
SRR3162483	786	634	508	1208	-44	894	686	845	887	601
SRR3162484	806	887	611	1208	-44	928	648	851	873	849
SRR3162485	612	858	540	1200	-44	527	39	540	721	788
SRR3162486	782	1035	559	1205	-44	862	348	759	892	970
SRR3162487	789	788	542	1207	-44	863	154	787	896	726
SRR3162488	792	1087	584	800	-31	881	213	785	921	1024
SRR3162489	790	715	545	1207	-44	863	569	757	844	673
