Sample	Evading_growth_suppressors	Evading_immune_destruction	Genome_instability	Replicative_immortality	Reprogramming_energy_metabolism	Resisting_cell_death	Sustained_angiogenesis	Sustaining_proliferative_signaling	Tissue_invasion_and_metastasis	Tumor-promoting_inflammation
SRR1925826	615	818	566	586	788	587	794	890	551	471
SRR1925827	612	775	553	558	734	572	775	879	527	369
SRR1925828	655	778	601	569	732	572	782	869	539	426
SRR1925829	623	772	583	599	765	566	778	874	530	421
SRR1925830	611	774	530	560	715	555	781	888	538	308
SRR1925831	645	771	599	576	787	570	803	930	532	326
SRR1925832	643	764	587	558	737	560	805	898	537	339
SRR1925833	597	779	531	549	699	540	806	902	528	300
SRR1925834	527	787	459	538	761	544	814	899	519	343
SRR1925835	549	805	459	538	748	550	810	908	526	321
SRR1925836	546	866	468	578	692	568	809	916	536	367
SRR1925837	552	874	465	598	710	587	808	932	543	338
SRR1925838	562	798	483	558	765	562	764	871	525	415
SRR1925839	552	779	474	541	751	547	760	844	524	436
SRR1925840	558	797	497	566	764	544	764	849	531	334
SRR1925841	521	776	462	564	794	532	794	863	515	346
SRR1925842	446	654	493	553	694	520	737	664	458	289
SRR1925843	454	703	448	541	727	531	783	739	479	270
SRR1925844	472	694	522	529	689	539	762	689	480	290
SRR1925845	459	618	525	547	640	493	750	675	463	315
