Sample	Evading_growth_suppressors	Evading_immune_destruction	Genome_instability	Replicative_immortality	Reprogramming_energy_metabolism	Resisting_cell_death	Sustained_angiogenesis	Sustaining_proliferative_signaling	Tissue_invasion_and_metastasis	Tumor-promoting_inflammation
SRR2352576	788	884	678	361	1174	629	750	696	570	834
SRR2352577	797	884	689	368	1183	638	727	704	576	834
SRR2352578	767	944	616	340	1180	619	880	683	579	893
SRR2352579	766	923	615	335	1187	617	885	676	577	873
SRR2352580	790	798	692	369	1141	633	765	715	577	753
SRR2352581	800	795	702	371	1152	632	730	728	583	749
SRR3924371	794	1006	747	379	1203	635	898	709	533	957
SRR3924372	787	947	694	352	1127	629	773	691	530	901
SRR3924373	786	1031	734	380	1209	645	790	695	534	977
SRR3924374	793	994	733	359	1177	644	759	701	533	941
SRR3924375	780	973	737	378	1241	625	903	710	529	923
SRR3924376	789	985	704	356	1140	623	858	706	531	935
SRR3924317	759	665	634	354	1071	630	694	699	591	625
SRR3924318	754	972	662	365	1081	629	708	706	566	921
SRR3924319	720	412	512	416	1147	622	897	576	560	381
SRR3924320	715	417	511	419	1115	623	863	565	549	385
SRR3924321	773	354	627	350	1084	627	685	690	619	326
SRR3924322	771	441	601	337	1104	613	733	654	598	413
SRR3924323	777	231	606	334	1103	630	730	674	620	197
SRR3924324	703	433	519	492	1134	609	884	544	555	401
SRR3924325	719	459	548	425	1117	612	843	579	561	428
SRR3924326	752	820	641	361	1102	623	787	676	567	771
SRR3924327	715	406	515	488	1132	624	895	570	565	373
SRR3924328	703	398	525	479	1124	622	889	570	560	364
SRR3924329	722	526	596	437	1108	628	880	620	590	489
SRR3924330	717	588	582	428	1094	617	848	616	564	543
SRR3924331	745	312	626	363	1132	616	674	654	622	278
SRR3924332	750	312	624	372	1142	622	679	649	618	275
SRR3924333	724	457	630	486	1164	616	842	650	604	428
SRR3924334	706	444	517	438	1122	637	871	572	558	413
SRR3924335	718	438	537	451	1109	629	861	593	566	406
SRR3924336	751	268	578	349	1100	632	776	652	628	232
SRR3924337	738	383	600	429	1118	648	907	665	623	352
SRR3924338	710	428	532	439	1129	631	854	581	571	397
SRR3924339	720	427	571	461	1123	637	855	608	559	397
SRR3924340	746	966	658	366	1120	647	797	682	539	913
SRR3924341	746	1007	644	357	1121	637	833	688	539	951
SRR3924342	703	417	538	432	1136	615	831	572	581	385
SRR3924343	728	341	573	421	1143	612	841	588	590	306
SRR3924344	752	345	599	325	1156	630	792	663	624	314
SRR3924345	749	368	617	332	1138	634	779	672	618	338
SRR3924346	740	353	592	328	1121	621	880	648	611	319
SRR3924347	707	598	513	395	1124	637	887	554	538	554
SRR3924348	748	914	640	352	1117	627	704	677	577	863
SRR3924349	700	438	526	491	1108	624	863	550	549	406
SRR3924350	761	1006	688	370	1103	633	788	697	558	956
SRR3924351	750	863	668	378	1096	630	866	701	559	818
SRR3924352	767	913	697	366	1134	646	828	707	566	866
SRR3924353	709	487	530	388	1115	645	857	585	545	459
SRR3924354	726	422	579	400	1121	619	723	619	584	391
SRR3924355	737	651	673	383	1083	600	635	690	587	609
SRR3924356	754	414	657	360	1105	629	709	680	632	384
SRR3924357	731	900	664	358	1104	594	607	660	534	850
SRR3924358	715	437	520	441	1157	619	872	574	564	406
SRR3924359	746	500	590	362	1119	620	766	634	572	471
SRR3924360	762	999	598	338	1130	624	761	659	573	945
SRR3924361	752	999	575	318	1103	624	800	640	565	945
SRR3924362	762	948	561	313	1081	625	772	634	553	895
SRR3924363	698	495	523	403	1071	630	884	574	534	467
SRR3924364	704	472	525	411	1104	642	889	574	548	442
SRR3924365	707	517	511	372	1112	651	900	572	544	485
SRR3924366	699	482	496	391	1103	640	895	581	538	453
SRR3924367	709	441	524	384	1107	644	888	581	548	410
SRR3924368	701	456	508	404	1029	635	880	589	550	425
SRR3924369	640	491	486	322	949	532	745	454	433	464
SRR3924370	627	645	449	318	966	523	744	443	434	602
